chercheur_id,article_id,raw_pub_id
fsbm_abdelhafid_bassou,art_00084,fsbm_abdelhafid_bassou::oa:W3011113343
fsbm_abdellah_hamdaoui,art_00085,fsbm_abdellah_hamdaoui::oa:W2081235455
fsbm_siham_slassi,art_00086,fsbm_siham_slassi::oa:W4413884033
fsbm_mohamed_ghazouani,art_00087,fsbm_mohamed_ghazouani::oa:W3196425088
fsbm_mohamed_ghazouani,art_00088,fsbm_mohamed_ghazouani::oa:W4315851327
fsbm_othmane_daoudi,art_00089,fsbm_othmane_daoudi::oa:W3086881190
fsbm_said_nouh,art_00090,fsbm_said_nouh::oa:W2923865403
fsbm_omar_zakary,art_00091,fsbm_omar_zakary::oa:W2731562002
fsbm_said_nouh,art_00092,fsbm_said_nouh::oa:W4313249664
fsbm_khalid_kandali,art_00093,fsbm_khalid_kandali::oa:W3139173940
fsbm_aziz_boutouil,art_00094,fsbm_aziz_boutouil::oa:W2971539354
fsbm_faouzia_benabbou,art_00095,fsbm_faouzia_benabbou::oa:W3089874376
fsbm_youssef_naimi,art_00096,fsbm_youssef_naimi::oa:W3020684119
fsbm_abdelhafid_bassou,art_00097,fsbm_abdelhafid_bassou::oa:W3090519756
fsbm_mohamed_ghazouani,art_00098,fsbm_mohamed_ghazouani::oa:W4406263195
fsbm_omar_zakary,art_00099,fsbm_omar_zakary::oa:W3008937579
fsbm_mostafa_oukassou,art_00100,fsbm_mostafa_oukassou::oa:W4393315516
fsbm_said_nouh,art_00101,fsbm_said_nouh::oa:W2907374034
fsbm_mohamed_ghazouani,art_00102,fsbm_mohamed_ghazouani::oa:W4391466869
fsbm_wadi_badri,art_00103,fsbm_wadi_badri::oa:W1979320870
fsbm_abdelhafid_bassou,art_00104,fsbm_abdelhafid_bassou::oa:W3168197520
fsbm_abdelmjid_abourriche,art_00105,fsbm_abdelmjid_abourriche::oa:W4235622899
fsbm_imane_agmour,art_00106,fsbm_imane_agmour::oa:W4390266361
fsbm_mohammed_berrada,art_00107,fsbm_mohammed_berrada::oa:W2068588035
fsbm_siham_slassi,art_00108,fsbm_siham_slassi::oa:W3187615448
fsbm_khalid_kandali,art_00109,fsbm_khalid_kandali::oa:W4318615260
fsbm_mohammed_berrada,art_00110,fsbm_mohammed_berrada::oa:W2130345347
fsbm_fouad_alloun,art_00111,fsbm_fouad_alloun::oa:W4389801994
fsbm_khalid_kandali,art_00112,fsbm_khalid_kandali::oa:W2980043507
fsbm_fouad_damiri,art_00113,fsbm_fouad_damiri::oa:W3216761593
fsbm_mohammed_berrada,art_00113,fsbm_mohammed_berrada::oa:W3216761593
fsbm_bouazza_braikat,art_00114,fsbm_bouazza_braikat::oa:W2625064316
fsbm_bouazza_braikat,art_00115,fsbm_bouazza_braikat::oa:W3101442753
fsbm_soumia_mordane,art_00116,fsbm_soumia_mordane::oa:W2030142603
fsbm_chaouki_sadik,art_00117,fsbm_chaouki_sadik::oa:W3190849851
fsbm_abdelmoghit_zaarane,art_00118,fsbm_abdelmoghit_zaarane::WyhosLcAAAAJ:mVmsd5A6BfQC
fsbm_elhabib_benlahmar,art_00119,fsbm_elhabib_benlahmar::oa:W2917738783
fsbm_abdellah_hamdaoui,art_00120,fsbm_abdellah_hamdaoui::oa:W3092741081
fsbm_mohamed_moumou,art_00121,fsbm_mohamed_moumou::oa:W3027649000
fsbm_abdelhakim_alali,art_00122,fsbm_abdelhakim_alali::OcbnqJIAAAAJ:_FxGoFyzp5QC
fsbm_abdelhakim_alali,art_00123,fsbm_abdelhakim_alali::OcbnqJIAAAAJ:Tyk-4Ss8FVUC
fsbm_fouad_damiri,art_00124,fsbm_fouad_damiri::oa:W4391930644
fsbm_elhabib_benlahmar,art_00125,fsbm_elhabib_benlahmar::oa:W2991072473
fsbm_khalid_kandali,art_00126,fsbm_khalid_kandali::oa:W3088058776
fsbm_abdessamad_belangour,art_00127,fsbm_abdessamad_belangour::oa:W4235731829
fsbm_rhma_adhiri,art_00128,fsbm_rhma_adhiri::oa:W4389426230
fsbm_rhma_adhiri,art_00129,fsbm_rhma_adhiri::oa:W4392382290
fsbm_khalid_adnaoui,art_00130,fsbm_khalid_adnaoui::oa:W4221110987
fsbm_faouziya_haissen,art_00131,fsbm_faouziya_haissen::oa:W4401594005
fsbm_mohammed_berrada,art_00132,fsbm_mohammed_berrada::oa:W1981446701
fsbm_abdessamad_belangour,art_00133,fsbm_abdessamad_belangour::oa:W2922499945
fsbm_elhabib_benlahmar,art_00134,fsbm_elhabib_benlahmar::oa:W3047866954
fsbm_omar_zahour,art_00134,fsbm_omar_zahour::oa:W3047866954
fsbm_fouad_alloun,art_00135,fsbm_fouad_alloun::oa:W7202213389
fsbm_khadija_achtaich,art_00136,fsbm_khadija_achtaich::oa:W7163533497
fsbm_mohammed_aitdaoud,art_00136,fsbm_mohammed_aitdaoud::oa:W7163533497
fsbm_faouzia_benabbou,art_00137,fsbm_faouzia_benabbou::oa:W4367856961
